ETFG Date,Composite Ticker,Constituent Ticker,Weight,Shares Held,Market Value
2021-11-15,VNQ,MAC,0.00206,9613693.0,173911706.0
2021-11-15,VNQ,PSB,0.00202,961158.0,170797777.0
2021-11-15,VNQ,OUT,0.002,6774930.0,168628008.0
2021-11-15,VNQ,HHC,0.00199,1924124.0,167648924.0
2021-11-15,VNQ,PCH,0.00193,3120843.0,163126464.0
2021-11-15,VNQ,EPRT,0.00193,5469456.0,162935094.0
2021-11-15,VNQ,JBGS,0.00188,5509410.0,159001573.0
2021-11-15,VNQ,EXPI,0.00185,3032759.0,156490364.0
2021-11-15,VNQ,APLE,0.00184,9890853.0,155385301.0
2021-11-15,VNQ,UNIT,0.00184,10867151.0,155508931.0
2021-11-15,VNQ,DBRG.UN,0.0018,22643489.0,151711376.0
2021-11-15,VNQ,EQC,0.00174,5675634.0,147169190.0
2021-11-15,VNQ,SBRA,0.00168,10051904.0,142234442.0
2021-11-15,VNQ,OFC,0.00168,5229148.0,141814494.0
2021-11-15,VNQ,PEB,0.00163,6116119.0,137368033.0
2021-11-15,VNQ,KW,0.00156,5898398.0,131947163.0
2021-11-15,VNQ,OPEN,0.00151,5378405.0,127521983.0
2021-11-15,VNQ,SITC,0.00148,7859243.0,124883371.0
2021-11-15,VNQ,SHO,0.00147,10066042.0,124214958.0
2021-11-15,VNQ,NMRK,0.00139,7901293.0,117571240.0
2021-11-15,VNQ,CWK,0.00136,6226199.0,114499800.0
2021-11-15,VNQ,IRT,0.00133,4755245.0,112366439.0
2021-11-15,VNQ,RLJ,0.00131,7677112.0,110703955.0
2021-11-15,VNQ,NHI,0.00129,2027715.0,109050513.0
2021-11-15,VNQ,BDN,0.00125,7954017.0,105390725.0
2021-11-15,VNQ,FCPT,0.00122,3545914.0,102831506.0
2021-11-15,VNQ,PDM,0.00121,5774139.0,102548709.0
2021-11-15,VNQ,CXP,0.00121,5347337.0,102508450.0
2021-11-15,VNQ,WRE,0.00118,3937613.0,99818490.0
2021-11-15,VNQ,ROIC,0.00116,5529208.0,98254026.0
2021-11-15,VNQ,UE,0.00113,5447829.0,95500442.0
2021-11-15,VNQ,XHR,0.00112,5297846.0,94301659.0
2021-11-15,VNQ,RLGY,0.00111,5419688.0,93868996.0
2021-11-15,VNQ,CTRE,0.00111,4505620.0,93491615.0
2021-11-15,VNQ,AAT,0.00107,2392892.0,90523104.0
2021-11-15,VNQ,DRH,0.00105,9787781.0,88481540.0
2021-11-15,VNQ,STAR,0.00102,3409282.0,86050278.0
2021-11-15,VNQ,AKR,0.00102,4017817.0,85900927.0
2021-11-15,VNQ,ILPT,0.00101,3039979.0,85393010.0
2021-11-22,NURE,CPT,0.0532599861,32167.0,5354840.49
2021-11-22,NURE,HST,0.0518813668,305400.0,5216232.0
2021-11-22,NURE,CUBE,0.0511129361,95680.0,5138972.8
2021-11-22,NURE,ESS,0.0509791887,14851.0,5125525.63
2021-11-22,NURE,EXR,0.0509047326,25603.0,5118039.7
2021-11-22,NURE,MAA,0.0507110534,25203.0,5098566.9
2021-11-22,NURE,AVB,0.0506721686,21372.0,5094657.36
2021-11-22,NURE,UDR,0.050011461,90387.0,5028228.81
2021-11-22,NURE,EQR,0.0496953707,58630.0,4996448.6
2021-11-22,NURE,PSA,0.0487982206,14904.0,4906247.76
2021-11-22,NURE,INVH,0.0478219548,117990.0,4808092.5
2021-11-22,NURE,ELS,0.0468856386,56414.0,4713953.84
2021-11-22,NURE,AMH,0.0465271066,117624.0,4677906.48
2021-11-22,NURE,LSI,0.0464951429,35201.0,4674692.8
2021-11-22,NURE,SUI,0.0454146864,23651.0,4566062.06
2021-11-22,NURE,AIRC-W,0.0363906821,70551.0,3658774.86
2021-11-22,NURE,ACC,0.0328981009,62526.0,3307625.4
2021-11-22,NURE,NSA,0.022609807,36659.0,2273224.59
2021-11-22,NURE,RHP,0.0216291005,24751.0,2174622.86
2021-11-22,NURE,PK,0.019791807,106298.0,1989898.56
2021-11-22,NURE,APLE,0.0148574674,95450.0,1493792.5
2021-11-22,NURE,PEB,0.0133917914,59054.0,1346431.2
2021-11-22,NURE,IRT,0.0117196868,47246.0,1178315.24
2021-11-22,NURE,SHO,0.0115942855,98455.0,1165707.2
2021-11-22,NURE,RLJ,0.0100112708,74892.0,1006548.48
2021-11-22,NURE,WRE,0.0096981174,38029.0,975063.56
2021-11-22,NURE,DRH,0.0089262827,94669.0,897462.12
2021-11-22,NURE,XHR,0.0085368154,51334.0,858304.48
2021-11-22,NURE,NXRT,0.0077836898,10174.0,782584.08
2021-11-22,NURE,CSR,0.0063686888,6326.0,640317.72
2021-11-22,NURE,AIV,0.0052730932,67451.0,530164.86
2021-11-22,NURE,INN,0.0044278236,47972.0,445180.16
2021-11-22,NURE,CLDT,0.0026962843,21915.0,271088.55
2021-11-22,NURE,HT,0.0015069289,14883.0,151508.94
2021-11-22,VNQ,AMT,0.07069,21166232.0,5968242437.000001
2021-11-22,VNQ,PLD,0.05912,34436670.0,4991939683.000001
2021-11-22,VNQ,CCI,0.04243,19868592.0,3582307138.0
2021-11-22,VNQ,EQIX,0.04109,4144983.0,3469640920.0
2021-11-22,VNQ,PSA,0.02884,7330762.0,2435132521.0
2021-11-22,VNQ,SPG,0.02586,14893221.0,2183048334.0
2021-11-22,VNQ,DLR,0.02403,12858043.0,2029127766.0
2021-11-22,VNQ,SBAC,0.02082,5090013.0,1757734189.0
2021-11-22,VNQ,CBRE,0.01926,15625107.0,1626261137.0
2021-11-22,VNQ,WELL,0.01851,19435737.0,1562633255.0
2021-11-22,VNQ,AVB,0.01822,6498624.0,1538094328.0
2021-11-22,VNQ,EQR,0.01662,16239546.0,1403096774.0
2021-11-22,VNQ,ARE,0.01577,6522997.0,1331604608.0
2021-11-22,VNQ,O,0.01525,18022738.0,1287364175.0
2021-11-22,VNQ,WY,0.01475,34876127.0,1245775256.0
2021-11-22,VNQ,EXR,0.01455,6225112.0,1228650355.0
2021-11-22,VNQ,INVH,0.01291,26424057.0,1089992351.0
2021-11-22,VNQ,MAA,0.01289,5329419.0,1088320654.0
2021-11-22,VNQ,ESS,0.01218,3025725.0,1028534699.0
2021-11-22,VNQ,SUI,0.01208,5205639.0,1020201131.0
2021-11-22,VNQ,DRE,0.01163,17455559.0,981700638.0
2021-11-22,VNQ,VTR,0.01158,18316386.0,977545521.0
2021-11-22,VNQ,PEAK,0.01055,25087409.0,890853894.0
2021-11-22,VNQ,VICI,0.00993,28579152.0,838798111.0
2021-11-22,VNQ,BXP,0.00929,6902054.0,784349417.0
2021-11-22,VNQ,Z,0.00924,7526544.0,779975755.0
2021-11-22,VNQ,UDR,0.00909,13817625.0,767292716.0
2021-11-22,VNQ,CPT,0.00878,4547183.0,741645547.0
2021-11-22,VNQ,ELS,0.00807,8062457.0,681358241.0
2021-11-22,VNQ,WPC,0.00757,8284331.0,638804763.0
2021-11-22,VNQ,JLL,0.0073,2388399.0,616756274.0
2021-11-22,VNQ,KIM,0.00727,27161092.0,613840679.0
2021-11-22,VNQ,IRM,0.00727,13440615.0,613429669.0
2021-11-22,VNQ,MPW,0.00692,27380894.0,584034469.0
2021-11-22,VNQ,HST,0.00655,32868507.0,553176973.0
2021-11-22,VNQ,AMH,0.00649,13497118.0,547982991.0
2021-11-22,VNQ,VER.UN,0.00644,10817648.0,544127674.0
2021-11-22,VNQ,CUBE,0.00611,9380723.0,516033572.0
2021-11-22,VNQ,REG,0.00593,7116478.0,501071216.0
2021-11-22,VNQ,GLPI,0.00591,10294521.0,499181323.0
2021-11-22,VNQ,LSI,0.00567,3577662.0,478726952.0
2021-11-22,VNQ,CONE,0.00554,5704149.0,467854301.0
2021-11-22,VNQ,LAMR,0.00541,4035438.0,456811582.0
2021-11-22,VNQ,REXR,0.00497,6240130.0,419336736.0
2021-11-22,VNQ,FRT,0.00464,3257588.0,392050716.0
2021-11-22,VNQ,AIRC-W,0.00464,7300337.0,391371067.0
2021-11-22,VNQ,STOR,0.00461,11332354.0,389039713.0
2021-11-22,VNQ,NNN,0.00439,8173367.0,370743927.0
2021-11-22,VNQ,EGP,0.00436,1863004.0,368464931.0
2021-11-22,VNQ,FR,0.00415,6010824.0,350010282.0
2021-11-22,VNQ,COLD,0.0041,11755763.0,346442336.0
2021-11-22,VNQ,ACC,0.00408,6417741.0,344761047.0
2021-11-22,VNQ,HTA,0.00403,10186545.0,340128738.0
2021-11-22,VNQ,KRC,0.00389,4878731.0,328728895.0
2021-11-22,VNQ,BRX,0.00384,13823623.0,324025723.0
2021-11-22,VNQ,VNO,0.00383,7575984.0,322964198.0
2021-11-22,VNQ,STAG,0.00383,7433645.0,323586567.0
2021-11-22,VNQ,OHI,0.00381,10956158.0,321672799.0
2021-11-22,VNQ,ZG,0.00356,2844961.0,300769277.0
